L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
2688,83612,28044,3514,1354,1600,60280,59911,2236,13548,5929,6829,300,332911,1373,209,benign
877304,12022856,7424075,329548,21623,199621,6561978,8768447,107563,816226,27845,366037,38940,31590686,15650,1009,benign
2730136,13038511,4305689,26033,27220,185651,4025852,9803730,42095,231594,7250,23761,166,15940698,3671,152,benign
14054,528045,345348,11595,3882,6471,171789,514362,5315,34107,11889,20791,376,796924,3518,282,benign
1791,7571,9081,974,331,462,6991,7052,428,1771,62,2150,87,33481,6,54,benign
990358,14021830,8437166,406333,10830,313874,8885862,10154227,285572,1333891,17756,838810,30479,44770904,9263,3402,benign
420754,8446613,3869479,272361,23440,135744,7174868,5179813,194619,1033258,47456,596132,10133,45222851,27309,3762,benign
745621,10031543,5821487,233422,17484,268577,8510209,7730857,204930,926640,45030,437090,6109,38348817,26935,5401,benign
1556,11840,7492,4501,865,1282,8191,8325,425,2791,85,5475,135,40589,39,34,benign
305544,7651566,3384212,285209,540,157072,7508577,7333612,132865,930094,1511,469911,10527,30859986,854,382,benign
9269,89502,60069,2448,1480,3404,17226,50755,664,3993,406,4468,91,91542,304,67,benign
199316,4064714,2560143,237653,78,58118,2586466,3372357,22867,176810,3794,103732,2945,5371281,1915,96,benign
405170,5259880,2990060,101647,56045,148929,57014,4196009,4927,14498,761,20087,4541,286609,508,44,benign
53185,1135799,458979,32502,5663,25997,2868538,1055775,128025,405146,30115,144730,1860,16655658,13098,1418,benign
2976,27519,18498,1566,287,1361,16194,16165,596,3810,330,4306,88,86935,273,48,benign
2971,122695,62733,3809,1329,1871,112454,109178,1855,21882,44882,9496,352,492824,26298,2323,benign
2275,15344,14449,1475,251,822,4932,14686,319,2205,351,1800,163,21289,282,8,benign
216884,8229263,3961229,117415,11991,54839,12505605,7758543,147697,983570,22805,243065,1519,52443907,12303,823,benign
327180,8779200,3460015,153121,5172,99359,8300842,8389303,112778,940719,12957,254711,4936,37039051,9885,1083,benign
321221,9773462,4022939,127449,17952,76041,8385785,8654554,172209,784522,40296,199118,6070,42252134,18546,1386,benign
2949,28076,18834,1426,282,1314,16410,16486,548,3639,362,3980,89,88358,287,74,benign
2087,14374,13125,741,3,215,7018,10294,409,1621,26,2156,45,33605,298,23,benign
1801,5960,9048,1022,327,371,7000,4867,468,1753,2,2567,106,27913,2,0,benign
455439,9700772,6169329,341312,1198,116132,8244540,7995537,65048,835917,2108,322789,21838,37211585,2042,6,benign
1721,7529,9048,771,5,402,7017,7019,465,1663,5,2573,82,33578,5,0,benign
467848,9839531,6321079,311961,2377,112641,7508318,7971575,75570,1127887,134586,297649,9914,31301046,115191,7179,benign
421,6718,4539,695,0,499,7024,7554,411,1630,5,2252,147,33631,1,0,benign
179343,17373174,9640185,37427,602,86683,17587605,17079678,153244,936330,857,139745,2526,74118015,757,23,benign
511,7562,3820,927,297,421,11913,7060,707,2821,3,3787,60,33700,2,0,benign
541043,12427183,5557342,101318,8974,77497,8998087,10613918,175992,958055,36296,469198,1357,41163841,16845,2617,benign
13908,524407,341613,10689,3218,6131,2597,511834,330,3083,1553,1796,290,12090,392,32,benign
3059,27900,19387,3021,1089,1467,15922,16417,569,3848,674,4194,98,84814,567,68,benign
2215,2786564,62273,2885,673,1539,24070,79170,1711,10337,1656,13635,163,124257,901,47,benign
2278,14879,14258,1629,239,882,4853,15263,327,1823,99,1721,196,21019,72,2,benign
431055,10469693,5010221,196249,7531,98896,7473739,8405512,109536,863943,16090,340310,3531,35089552,9280,728,benign
1771,6752,8710,1082,288,444,6269,6249,398,2035,27,2667,81,30820,251,1,benign
46382,1935566,928310,86017,505,21613,132989,1630103,2725,14405,160,10384,1178,1094822,86,37,benign
157497,18501044,10327496,43897,3553,71771,17822579,18002836,153309,997757,3674,123946,1936,75281608,3112,87,benign
747165,15969295,7447473,25033,19674,67588,14855,6685171,1024,4897,444,7798,1564,69364,165,20,benign
1749,5939,9048,811,7,392,7045,4862,427,1735,7,2419,81,21331,6,0,benign
320210,16239795,9949821,58646,21215,53358,13234830,17366638,136008,940990,33608,161162,1246,57406745,32272,822,benign
